RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720479811869	 	3.11.3
USER	Pokemon API Test	START	1720479812413
USER	Pokemon API Test	START	1720479812508
USER	Pokemon API Test	START	1720479812609
USER	Pokemon API Test	START	1720479812709
REQUEST		Get Pikachu	1720479812509	1720479812604	OK	 
USER	Pokemon API Test	END	1720479812739
USER	Pokemon API Test	START	1720479812744
REQUEST		Get Pikachu	1720479812437	1720479812622	OK	 
USER	Pokemon API Test	END	1720479812770
USER	Pokemon API Test	START	1720479812771
REQUEST		Get Pikachu	1720479812609	1720479812781	OK	 
USER	Pokemon API Test	END	1720479812808
USER	Pokemon API Test	START	1720479812809
USER	Pokemon API Test	START	1720479812810
REQUEST		Get Pikachu	1720479812710	1720479812848	OK	 
USER	Pokemon API Test	END	1720479812886
USER	Pokemon API Test	START	1720479812886
USER	Pokemon API Test	START	1720479812910
REQUEST		Get Pikachu	1720479812809	1720479812908	OK	 
USER	Pokemon API Test	END	1720479812912
USER	Pokemon API Test	START	1720479812913
REQUEST		Get Pikachu	1720479812777	1720479812938	OK	 
USER	Pokemon API Test	END	1720479812981
USER	Pokemon API Test	START	1720479812981
REQUEST		Get Pikachu	1720479812811	1720479812976	OK	 
USER	Pokemon API Test	END	1720479812996
USER	Pokemon API Test	START	1720479812996
USER	Pokemon API Test	START	1720479813015
REQUEST		Get Pikachu	1720479812744	1720479812984	OK	 
USER	Pokemon API Test	END	1720479813022
USER	Pokemon API Test	START	1720479813023
REQUEST		Get Pikachu	1720479812982	1720479813062	OK	 
USER	Pokemon API Test	END	1720479813066
USER	Pokemon API Test	START	1720479813066
REQUEST		Get Pikachu	1720479812914	1720479813074	OK	 
USER	Pokemon API Test	END	1720479813102
USER	Pokemon API Test	START	1720479813102
REQUEST		Get Pikachu	1720479812911	1720479813103	OK	 
USER	Pokemon API Test	START	1720479813115
USER	Pokemon API Test	END	1720479813125
USER	Pokemon API Test	START	1720479813126
REQUEST		Get Pikachu	1720479812997	1720479813140	OK	 
USER	Pokemon API Test	END	1720479813161
REQUEST		Get Pikachu	1720479812887	1720479813145	OK	 
USER	Pokemon API Test	END	1720479813163
USER	Pokemon API Test	START	1720479813163
USER	Pokemon API Test	START	1720479813167
REQUEST		Get Pikachu	1720479813016	1720479813191	OK	 
USER	Pokemon API Test	END	1720479813199
USER	Pokemon API Test	START	1720479813200
REQUEST		Get Pikachu	1720479813024	1720479813198	OK	 
USER	Pokemon API Test	END	1720479813205
USER	Pokemon API Test	START	1720479813206
REQUEST		Get Pikachu	1720479813103	1720479813207	OK	 
USER	Pokemon API Test	END	1720479813208
USER	Pokemon API Test	START	1720479813210
USER	Pokemon API Test	START	1720479813217
REQUEST		Get Pikachu	1720479813067	1720479813228	OK	 
USER	Pokemon API Test	END	1720479813238
USER	Pokemon API Test	START	1720479813240
REQUEST		Get Pikachu	1720479813200	1720479813282	OK	 
USER	Pokemon API Test	END	1720479813287
USER	Pokemon API Test	START	1720479813287
REQUEST		Get Pikachu	1720479813144	1720479813286	OK	 
USER	Pokemon API Test	END	1720479813294
USER	Pokemon API Test	START	1720479813295
REQUEST		Get Pikachu	1720479813167	1720479813294	OK	 
USER	Pokemon API Test	END	1720479813306
USER	Pokemon API Test	START	1720479813306
USER	Pokemon API Test	START	1720479813315
REQUEST		Get Pikachu	1720479813164	1720479813317	OK	 
USER	Pokemon API Test	END	1720479813337
USER	Pokemon API Test	START	1720479813337
REQUEST		Get Pikachu	1720479813116	1720479813290	OK	 
USER	Pokemon API Test	END	1720479813349
USER	Pokemon API Test	START	1720479813361
REQUEST		Get Pikachu	1720479813218	1720479813361	OK	 
USER	Pokemon API Test	END	1720479813371
USER	Pokemon API Test	START	1720479813372
REQUEST		Get Pikachu	1720479813288	1720479813375	OK	 
USER	Pokemon API Test	END	1720479813376
REQUEST		Get Pikachu	1720479813211	1720479813379	OK	 
USER	Pokemon API Test	END	1720479813395
USER	Pokemon API Test	START	1720479813396
USER	Pokemon API Test	START	1720479813400
REQUEST		Get Pikachu	1720479813206	1720479813386	OK	 
REQUEST		Get Pikachu	1720479813241	1720479813404	OK	 
USER	Pokemon API Test	END	1720479813413
USER	Pokemon API Test	START	1720479813413
USER	Pokemon API Test	END	1720479813415
USER	Pokemon API Test	START	1720479813416
REQUEST		Get Pikachu	1720479813362	1720479813451	OK	 
USER	Pokemon API Test	END	1720479813453
USER	Pokemon API Test	START	1720479813454
REQUEST		Get Pikachu	1720479813296	1720479813458	OK	 
USER	Pokemon API Test	END	1720479813465
USER	Pokemon API Test	START	1720479813466
REQUEST		Get Pikachu	1720479813315	1720479813468	OK	 
USER	Pokemon API Test	END	1720479813475
USER	Pokemon API Test	START	1720479813476
REQUEST		Get Pikachu	1720479813316	1720479813480	OK	 
USER	Pokemon API Test	END	1720479813488
USER	Pokemon API Test	START	1720479813488
REQUEST		Get Pikachu	1720479813338	1720479813490	OK	 
USER	Pokemon API Test	END	1720479813502
USER	Pokemon API Test	START	1720479813502
REQUEST		Get Pikachu	1720479813421	1720479813510	OK	 
USER	Pokemon API Test	END	1720479813512
USER	Pokemon API Test	START	1720479813512
REQUEST		Get Pikachu	1720479813397	1720479813544	OK	 
USER	Pokemon API Test	END	1720479813556
USER	Pokemon API Test	START	1720479813556
REQUEST		Get Pikachu	1720479813400	1720479813552	OK	 
USER	Pokemon API Test	END	1720479813561
USER	Pokemon API Test	START	1720479813562
REQUEST		Get Pikachu	1720479813373	1720479813557	OK	 
USER	Pokemon API Test	END	1720479813565
USER	Pokemon API Test	START	1720479813566
REQUEST		Get Pikachu	1720479813414	1720479813561	OK	 
USER	Pokemon API Test	END	1720479813572
USER	Pokemon API Test	START	1720479813572
REQUEST		Get Pikachu	1720479813503	1720479813603	OK	 
USER	Pokemon API Test	END	1720479813606
USER	Pokemon API Test	START	1720479813606
REQUEST		Get Pikachu	1720479813489	1720479813616	OK	 
USER	Pokemon API Test	END	1720479813624
USER	Pokemon API Test	START	1720479813624
REQUEST		Get Pikachu	1720479813454	1720479813619	OK	 
USER	Pokemon API Test	END	1720479813626
USER	Pokemon API Test	START	1720479813627
REQUEST		Get Pikachu	1720479813466	1720479813641	OK	 
USER	Pokemon API Test	END	1720479813650
USER	Pokemon API Test	START	1720479813650
REQUEST		Get Pikachu	1720479813477	1720479813646	OK	 
USER	Pokemon API Test	END	1720479813652
USER	Pokemon API Test	START	1720479813652
REQUEST		Get Pikachu	1720479813573	1720479813658	OK	 
USER	Pokemon API Test	END	1720479813661
USER	Pokemon API Test	START	1720479813662
REQUEST		Get Pikachu	1720479813513	1720479813687	OK	 
USER	Pokemon API Test	END	1720479813693
USER	Pokemon API Test	START	1720479813694
REQUEST		Get Pikachu	1720479813566	1720479813705	OK	 
REQUEST		Get Pikachu	1720479813557	1720479813716	OK	 
USER	Pokemon API Test	END	1720479813725
USER	Pokemon API Test	START	1720479813726
USER	Pokemon API Test	END	1720479813727
USER	Pokemon API Test	START	1720479813727
REQUEST		Get Pikachu	1720479813562	1720479813730	OK	 
USER	Pokemon API Test	END	1720479813765
USER	Pokemon API Test	START	1720479813766
REQUEST		Get Pikachu	1720479813652	1720479813762	OK	 
USER	Pokemon API Test	END	1720479813771
USER	Pokemon API Test	START	1720479813771
REQUEST		Get Pikachu	1720479813625	1720479813803	OK	 
REQUEST		Get Pikachu	1720479813607	1720479813814	OK	 
USER	Pokemon API Test	END	1720479813819
USER	Pokemon API Test	START	1720479813819
REQUEST		Get Pikachu	1720479813662	1720479813817	OK	 
USER	Pokemon API Test	END	1720479813821
USER	Pokemon API Test	START	1720479813821
USER	Pokemon API Test	END	1720479813822
USER	Pokemon API Test	START	1720479813822
REQUEST		Get Pikachu	1720479813627	1720479813807	OK	 
USER	Pokemon API Test	END	1720479813831
USER	Pokemon API Test	START	1720479813832
REQUEST		Get Pikachu	1720479813766	1720479813864	OK	 
USER	Pokemon API Test	END	1720479813865
USER	Pokemon API Test	START	1720479813866
REQUEST		Get Pikachu	1720479813651	1720479813857	OK	 
USER	Pokemon API Test	END	1720479813871
USER	Pokemon API Test	START	1720479813872
REQUEST		Get Pikachu	1720479813694	1720479813874	OK	 
USER	Pokemon API Test	END	1720479813879
USER	Pokemon API Test	START	1720479813880
REQUEST		Get Pikachu	1720479813728	1720479813889	OK	 
USER	Pokemon API Test	END	1720479813894
USER	Pokemon API Test	START	1720479813895
REQUEST		Get Pikachu	1720479813832	1720479813921	OK	 
USER	Pokemon API Test	END	1720479813925
USER	Pokemon API Test	START	1720479813930
REQUEST		Get Pikachu	1720479813726	1720479813926	OK	 
USER	Pokemon API Test	END	1720479813932
USER	Pokemon API Test	START	1720479813933
REQUEST		Get Pikachu	1720479813771	1720479813955	OK	 
USER	Pokemon API Test	END	1720479813962
USER	Pokemon API Test	START	1720479813962
REQUEST		Get Pikachu	1720479813821	1720479813961	OK	 
USER	Pokemon API Test	END	1720479813967
USER	Pokemon API Test	START	1720479813967
REQUEST		Get Pikachu	1720479813823	1720479813966	OK	 
USER	Pokemon API Test	END	1720479813971
USER	Pokemon API Test	START	1720479813972
REQUEST		Get Pikachu	1720479813820	1720479814005	OK	 
USER	Pokemon API Test	END	1720479814011
USER	Pokemon API Test	START	1720479814012
REQUEST		Get Pikachu	1720479813930	1720479814025	OK	 
REQUEST		Get Pikachu	1720479813880	1720479814022	OK	 
USER	Pokemon API Test	END	1720479814028
USER	Pokemon API Test	END	1720479814028
USER	Pokemon API Test	START	1720479814028
REQUEST		Get Pikachu	1720479813866	1720479814026	OK	 
USER	Pokemon API Test	END	1720479814039
USER	Pokemon API Test	START	1720479814039
USER	Pokemon API Test	START	1720479814039
REQUEST		Get Pikachu	1720479813896	1720479814042	OK	 
USER	Pokemon API Test	END	1720479814047
USER	Pokemon API Test	START	1720479814048
REQUEST		Get Pikachu	1720479813872	1720479814046	OK	 
USER	Pokemon API Test	END	1720479814051
USER	Pokemon API Test	START	1720479814051
REQUEST		Get Pikachu	1720479813934	1720479814097	OK	 
USER	Pokemon API Test	END	1720479814102
REQUEST		Get Pikachu	1720479814012	1720479814101	OK	 
USER	Pokemon API Test	START	1720479814102
USER	Pokemon API Test	END	1720479814102
USER	Pokemon API Test	START	1720479814103
REQUEST		Get Pikachu	1720479813963	1720479814112	OK	 
USER	Pokemon API Test	END	1720479814119
USER	Pokemon API Test	START	1720479814120
REQUEST		Get Pikachu	1720479814052	1720479814129	OK	 
USER	Pokemon API Test	END	1720479814132
USER	Pokemon API Test	START	1720479814132
REQUEST		Get Pikachu	1720479813968	1720479814135	OK	 
USER	Pokemon API Test	END	1720479814141
USER	Pokemon API Test	START	1720479814142
REQUEST		Get Pikachu	1720479813972	1720479814138	OK	 
USER	Pokemon API Test	END	1720479814144
USER	Pokemon API Test	START	1720479814144
REQUEST		Get Pikachu	1720479814040	1720479814182	OK	 
USER	Pokemon API Test	END	1720479814188
USER	Pokemon API Test	START	1720479814188
REQUEST		Get Pikachu	1720479814029	1720479814188	OK	 
USER	Pokemon API Test	END	1720479814194
USER	Pokemon API Test	START	1720479814194
REQUEST		Get Pikachu	1720479814040	1720479814199	OK	 
USER	Pokemon API Test	END	1720479814204
USER	Pokemon API Test	START	1720479814217
REQUEST		Get Pikachu	1720479814048	1720479814213	OK	 
USER	Pokemon API Test	END	1720479814225
USER	Pokemon API Test	START	1720479814225
REQUEST		Get Pikachu	1720479814142	1720479814227	OK	 
USER	Pokemon API Test	END	1720479814229
USER	Pokemon API Test	START	1720479814229
REQUEST		Get Pikachu	1720479814104	1720479814245	OK	 
USER	Pokemon API Test	END	1720479814251
USER	Pokemon API Test	START	1720479814251
REQUEST		Get Pikachu	1720479814103	1720479814256	OK	 
USER	Pokemon API Test	END	1720479814261
USER	Pokemon API Test	START	1720479814261
REQUEST		Get Pikachu	1720479814120	1720479814258	OK	 
USER	Pokemon API Test	END	1720479814266
USER	Pokemon API Test	START	1720479814267
REQUEST		Get Pikachu	1720479814133	1720479814294	OK	 
USER	Pokemon API Test	END	1720479814305
USER	Pokemon API Test	START	1720479814305
REQUEST		Get Pikachu	1720479814225	1720479814310	OK	 
USER	Pokemon API Test	END	1720479814313
USER	Pokemon API Test	START	1720479814313
REQUEST		Get Pikachu	1720479814145	1720479814308	OK	 
USER	Pokemon API Test	END	1720479814325
USER	Pokemon API Test	START	1720479814325
REQUEST		Get Pikachu	1720479814189	1720479814363	OK	 
USER	Pokemon API Test	END	1720479814379
USER	Pokemon API Test	START	1720479814379
REQUEST		Get Pikachu	1720479814218	1720479814372	OK	 
USER	Pokemon API Test	END	1720479814389
USER	Pokemon API Test	START	1720479814389
REQUEST		Get Pikachu	1720479814305	1720479814383	OK	 
USER	Pokemon API Test	END	1720479814390
USER	Pokemon API Test	START	1720479814390
REQUEST		Get Pikachu	1720479814195	1720479814370	OK	 
USER	Pokemon API Test	END	1720479814391
USER	Pokemon API Test	START	1720479814391
REQUEST		Get Pikachu	1720479814229	1720479814397	OK	 
USER	Pokemon API Test	END	1720479814404
USER	Pokemon API Test	START	1720479814404
REQUEST		Get Pikachu	1720479814252	1720479814408	OK	 
USER	Pokemon API Test	END	1720479814413
USER	Pokemon API Test	START	1720479814413
REQUEST		Get Pikachu	1720479814267	1720479814434	OK	 
USER	Pokemon API Test	END	1720479814457
REQUEST		Get Pikachu	1720479814262	1720479814429	OK	 
USER	Pokemon API Test	END	1720479814466
REQUEST		Get Pikachu	1720479814314	1720479814457	OK	 
USER	Pokemon API Test	END	1720479814467
